zipCode,Average_Income_Per_Citizen
2630,27086.403566296096
2000,19091.860060566694
2018,19091.860060566694
2020,19091.860060566694
2030,19091.860060566694
2040,19091.860060566694
2050,19091.860060566694
2060,19091.860060566694
2600,19091.860060566694
9690,19091.860060566694
2040,19091.860060566694
2140,19091.860060566694
2180,19091.860060566694
2660,19091.860060566694
2040,19091.860060566694
2170,19091.860060566694
9690,19091.860060566694
2610,19091.860060566694
2040,19091.860060566694
2530,27017.12477183833
2531,27017.12477183833
2850,20251.21560067149
2150,21435.21616146432
2930,26412.346863771872
2960,24991.845850857277
2960,24991.845850857277
2960,24991.845850857277
2650,26633.14145072712
2910,22312.12946100158
2620,22469.403318463446
2540,30827.26459616296
2920,25680.52338224693
,28045.66501495873
2550,27583.791686551976
2550,27583.791686551976
2547,27922.901303228828
2640,24519.327335076352
2845,22249.05712380776
2520,26093.330842470292
2520,26093.330842470292
2520,26093.330842470292
2520,26093.330842470292
2840,25537.72734448985
2840,25537.72734448985
2840,25537.72734448985
2627,24740.516260678825
2970,30192.5989395358
2970,30192.5989395358
2900,25664.505885040748
2940,25574.96066677284
2940,25574.96066677284
2110,23956.06524827454
2160,24004.696715041573
2990,23180.218255405656
2990,23180.218255405656
2240,25037.23143274416
2242,25037.23143274416
2243,25037.23143274416
2240,25037.23143274416
2240,25037.23143274416
2980,26330.41028849155
2070,22994.36273903924
2070,22994.36273903924
2390,24352.945329543323
2390,24352.945329543323
2390,24352.945329543323
2590,23433.116085864927
2590,23433.116085864927
2820,29606.739484409365
2820,29606.739484409365
2880,26108.866028568827
2880,26108.866028568827
2880,26108.866028568827
2880,26108.866028568827
2570,24905.64556056056
2221,23881.251959028625
2220,23881.251959028625
2220,23881.251959028625
2222,23881.251959028625
2223,23881.251959028625
2222,23881.251959028625
2500,23739.14585111715
2500,23739.14585111715
2801,22812.04587469249
2811,22812.04587469249
2811,22812.04587469249
2800,22812.04587469249
2800,22812.04587469249
2560,24079.547730787304
2560,24079.547730787304
2560,24079.547730787304
2580,24984.482733616016
2580,24984.482733616016
2861,25334.740129196576
2860,25334.740129196576
2830,21746.326039318763
2830,21746.326039318763
2830,21746.326039318763
2830,21746.326039318763
,25704.175836695056
2370,21614.43037320144
2387,19932.23051460824
2490,22642.606136090613
2491,22642.606136090613
2340,24453.50005864465
2340,24453.50005864465
