CD_MUNTY_REFNIS,MS_TOT_NET_INC,MS_TOT_RESIDENTS,Average_Income_Per_Citizen
11001,399578625.41,14752,27086.403566296096
11002,10288794305.24,538910,19091.860060566698
11004,372998424.6,13806,27017.12477183833
11005,386028671.78,19062,20251.21560067149
11007,242410859.57,11309,21435.21616146432
11008,1018856280.27,38575,26412.346863771872
11009,759427219.87,30387,24991.845850857273
11013,606196932.56,22761,26633.14145072712
11016,437964789.19,19629,22312.12946100158
11018,271992127.17,12105,22469.403318463446
11021,260305422.25,8444,30827.264596162957
11022,498767125.13,19422,25680.523382246934
11023,778070884.51,27743,28045.66501495873
11024,596471911.43,21624,27583.791686551976
11025,238684960.34,8548,27922.901303228828
11029,647089567.7,26391,24519.327335076352
11030,240267567.88,10799,22249.05712380776
11035,511664124.49,19609,26093.330842470295
11037,393715142.47,15417,25537.72734448985
11038,214302351.85,8662,24740.516260678825
11039,612698410.28,20293,30192.598939535797
11040,881832422.21,34360,25664.505885040748
11044,481755534.08,18837,25574.96066677284
11050,249909672.67,10432,23956.06524827454
11052,317582137.54,13230,24004.696715041573
11053,501712643.92,21644,23180.218255405656
11054,334297114.09,13352,25037.231432744156
11055,590512111.54,22427,26330.41028849155
11056,449470808.46,19547,22994.36273903924
11057,389817595.89,16007,24352.945329543323
12002,280002304.11,11949,23433.116085864927
12005,457660978.95,15458,29606.739484409365
12007,573925093.04,21982,26108.866028568827
12009,447853318.47,17982,24905.645560560562
12014,1056172249.14,44226,23881.251959028625
12021,899927280.07,37909,23739.14585111715
12025,2021466633.14,88614,22812.04587469249
12026,563678132.83,23409,24079.547730787304
12029,465485897.81,18631,24984.482733616016
12035,547103713.09,21595,25334.740129196576
12040,603960713.09,27773,21746.326039318763
12041,688152195.5,26772,25704.175836695056
13001,288422958.9,13344,21614.430373201438
13002,60035878.31,3012,19932.230514608236
13003,527753863.82,23308,22642.606136090613
13004,450335657.08,18416,24453.500058644655
13006,215379255.15,9805,21966.26773584906
13008,990833226.83,41828,23688.27643755379
13010,286336563.82,11519,24857.76229012935
13011,683196483.72,28575,23908.888319160105
13012,216335698.06,9417,22972.889249230117
13013,350066586.57,14805,23645.15951165147
13014,485217647.53,22245,21812.43639154866
13016,249806717.0,10564,23646.981919727375
13017,480308718.29,19478,24659.03677430948
13019,398185184.66,16871,23601.753580700613
13021,240596331.42,10348,23250.51521260147
13023,198711821.16,8799,22583.455069894306
13025,886815958.41,38159,23240.020923242224
13029,298891723.0,12689,23555.183465994167
13031,354867244.49,14734,24084.92225397041
13035,318820682.24,15338,20786.326916155955
13036,285160285.65,11841,24082.44959462883
13037,275192501.95,12531,21960.93703216024
13040,949464827.91,46923,20234.529503868038
13044,189123608.41,8044,23511.139782446542
13046,294260287.55,11802,24933.08655736316
13049,607106771.31,25466,23839.895205764547
13053,392054078.8,16707,23466.4559047106
21001,1698170524.0,125065,13578.303474193419
21002,800015368.3,35346,22633.830371187687
21003,453127829.12,25396,17842.488152464954
21004,2985337172.38,194291,15365.288008090956
21005,892540191.65,49558,18010.0123421042
21006,706437743.78,44255,15962.891058185514
21007,1018168924.49,57724,17638.57190232832
21008,440946880.11,25548,17259.545957022077
21009,1817509396.23,88521,20531.957346053478
21010,925139108.06,53704,17226.633175554893
21011,328724401.4,22563,14569.179692416788
21012,1239051742.1,98270,12608.647014348224
21013,824673954.13,49323,16719.866069176653
21014,321399979.6,27068,11873.798566573076
21015,1952640792.14,130775,14931.300264882433
21016,2083707483.56,86101,24200.73499216037
21017,595218558.43,25392,23441.184563248265
21018,1211467693.67,59778,20266.11284536117
21019,1040765340.37,42497,24490.32497282161
23002,799189838.06,35191,22710.06331334716
23003,659989496.95,26474,24929.723387096776
23009,54777314.74,2265,24184.244918322296
23016,1110758208.46,44650,24877.003548936173
23023,225143375.49,8912,25262.946082809696
23024,244082290.62,9428,25889.084707254984
23025,978645218.53,39368,24858.901100640112
23027,958053828.28,42047,22785.307591029086
23032,172324725.81,6763,25480.515423628567
23033,316710751.23,11537,27451.742327294793
23038,343932871.31,12445,27636.229112896744
23039,254016650.88,9659,26298.441958794905
23044,310426819.24,13877,22369.879602219502
23045,495859940.07,19288,25708.209252903358
23047,310395411.43,16486,18827.81823547252
23050,557069614.34,20239,27524.562198725234
23052,448476083.75,17740,25280.500775084554
23060,375272802.85,14890,25203.008922095367
23062,734801316.7,25978,28285.523007929787
23064,121558630.05,4567,26616.735285745566
23077,756506333.52,36052,20983.75495173638
23081,322477967.84,12614,25565.083862375137
23086,411142373.24,16488,24935.85475739932
23088,942022514.37,46993,20046.01779775711
23094,807403106.27,36408,22176.530055756975
23096,664404812.98,23357,28445.639978593143
23097,308302270.0,11866,25981.988033035563
23098,114409925.99,5851,19553.909757306443
23099,357361006.56,14051,25433.136898441393
23100,123861012.31,4640,26694.1836875
23101,538015429.35,18739,28711.000018677627
23102,418605164.03,17743,23592.69368370625
23103,392720073.09,14608,26883.904236719605
23104,253806398.6,9431,26911.928597179514
23105,343474272.05,13556,25337.435235320154
24001,769300066.44,30854,24933.560200946395
24007,267264078.67,10487,25485.27497568418
24008,163458528.21,6672,24499.17988758993
24009,290842177.07,10276,28303.053432269364
24011,306532065.29,10469,29279.975670073552
24014,364346327.83,13263,27470.883497700368
24016,236243845.67,8527,27705.38825730034
24020,596436566.67,24677,24169.735651416297
24028,141457576.14,6263,22586.23281813827
24033,419606575.63,15425,27203.0194897893
24038,657264115.97,22723,28925.05901377459
24041,184612877.6,6797,27160.935353832574
24043,288424753.31,10158,28393.85246209884
24045,278499665.96,10080,27628.935115079363
24048,423970250.94,13196,32128.69437253713
24054,192086731.7,7970,24101.221041405268
24055,564887023.17,20920,27002.247761472274
24059,392343006.99,16284,24093.77345799558
24062,2556796479.34,103009,24821.097955906767
24066,426865798.73,14911,28627.576871437195
24086,361185712.1,11545,31285.033529666525
24094,485876919.6,17499,27765.982033259046
24104,650908010.61,23101,28176.616190208217
24107,830461444.02,36282,22889.075685463868
24109,408737528.95,15338,26648.684896987874
24130,206542267.29,8668,23828.13420512229
24133,180013755.37,7317,24602.125921825886
24134,565646681.26,23705,23861.91441721156
24135,287580083.94,11440,25138.119225524475
24137,141649918.03,5426,26105.771844821233
25005,188118361.71,7232,26011.94160813053
25014,1029427669.61,40469,25437.437782253084
25015,269498436.65,10671,25255.218503420485
25018,343356679.61,11813,29066.00182934056
25023,254880859.38,10750,23709.847384186047
25031,401935180.15,15915,25255.11656613258
25037,377327317.2,14067,26823.58123267221
25043,138458509.57,5614,24663.076161382258
25044,176183717.77,7039,25029.651622389545
25048,343186180.54,14789,23205.5027750355
25050,204639425.97,7564,27054.3926454257
25068,212642868.61,8361,25432.707643822512
25072,713529228.08,29018,24589.19388241781
25084,233389944.81,9639,24213.08691876751
25091,621287322.87,23115,26878.101789746917
25105,553977327.81,28057,19744.709976476457
25107,277159845.84,11118,24928.93018888289
25110,843742494.28,30477,27684.56522229878
25112,863856901.98,35444,24372.443910958133
25117,196082434.9,7742,25327.10344872126
25118,85859780.6,3789,22660.274637107414
25119,436915452.77,14313,30525.7774589534
25120,214430113.88,9097,23571.519608662195
25121,723103530.16,31526,22936.735715282623
25122,155809617.49,6667,23370.27410979451
25123,241455584.11,11081,21790.053615197186
25124,196382968.01,7567,25952.552928505353
31003,380995028.08,16131,23618.810246109973
31004,457517468.14,20511,22305.956225440008
31005,2876806364.26,119541,24065.436664073415
31006,270376750.09,11146,24257.73821012022
